Chapter,Type,Type#,Formula#,Path,latex
8,8.9,Theorem,2,functional/8.9 Theorem_8_2.jpg,"
\[
\left\|D_{\alpha} u\right\|_{s-|\alpha|} \leq\|u\|_{s}
\]"
12,12.34,Theorem,2,functional/12.34 Theorem_12_2.jpg," $\quad\left(P^{2} x, x\right)=(P x, P x)=\|P x\|^{2} \quad(x \in H)$."
8,8.7,Definition,3,functional/8.7 Definition_8_3.jpg,"
\[
\sum_{|\alpha|=N} f_{\alpha} D_{\alpha}
\]"
13,13.36,Theorem,6,functional/13.36 Theorem_13_6.jpg," $\quad\left\|S(\varepsilon)^{m}\right\| \leq C(1-\varepsilon \gamma)^{-m} \quad\left(0<\varepsilon<\varepsilon_{0}, m=1,2,3, \ldots\right)$,"
6,6.20,Theorem,4,functional/6.20 Theorem_6_4.jpg, $\psi_{1}(x)+\cdots+\psi_{m}(x)=1 \quad$ if $x \in V_{1} \cup \cdots \cup V_{m}$.
13,13.17,Definition,6,functional/13.17 Definition_13_6.jpg,"
\[
U=(T-i I)(T+i I)^{-1}
\]"
3,3.20,Theorem,2,functional/3.20 Theorem_3_2.jpg,"
\[
\alpha f(s, a)+\beta f(t, b)=f(u, c)
\]"
11,11.11,Lemma,4,functional/11.11 Lemma_11_4.jpg,"
\[
\|\hat{x}\|_{\infty}=\rho(x) \geq r\|x\| \quad(x \in A) .
\]"
7,7.23,Theorem,7,functional/7.23 Theorem_7_7.jpg, $\quad \phi_{z}(t)=e^{-i z \cdot t} h(|t||z|-r|z|) \quad\left(t \in R^{n}\right)$.
11,11.8,Definition,1,functional/11.8 Definition_11_1.jpg,"
\[
\hat{x}(h)=h(x) \quad(h \in \Delta)
\]"
6,6.36,Definition,6,functional/6.36 Definition_6_6.jpg, $\quad((u * v) * w) * \phi=(u * v) *(w * \phi)=u *(v *(w * \phi))$
13,13.35,Theorem,11,functional/13.35 Theorem_13_11.jpg,"
\[
\varphi^{\prime}(s)=\left\{\exp \left((t-s) A_{\varepsilon}\right)\right\} Q(s)\left(A x-A_{\varepsilon} x\right) .
\]"
12,12.28,Theorem,4,functional/12.28 Theorem_12_4.jpg,"
\[
f_{n}(T) f(T)=E\left(\omega_{n}\right) \quad(n=1,2,3, \ldots) .
\]"
12,12.16,Theorem,4,functional/12.16 Theorem_12_4.jpg, $\quad\left\|\exp \left(S-S^{*}\right)\right\|=1 \quad$ for every $S \in \mathscr{B}(H)$.
12,12.38,Theorem,2,functional/12.38 Theorem_12_2.jpg,"
\[
\int_{D}|f|^{2} d m_{2}<\infty
\]"
7,7.23,Theorem,10,functional/7.23 Theorem_7_10.jpg,"
\[
\left|e^{-i z \cdot t}\right|=e^{y \cdot t} \leq e^{2+r|\operatorname{Im} z|}
\]"
7,7.19,Theorem,3,functional/7.19 Theorem_7_3.jpg," $\quad p_{N}\left(\tau_{x} f\right) \leq 2^{N}\left(1+|x|^{2}\right)^{N} p_{N}(f) \quad\left(x \in R^{n}, f \in \mathscr{S}_{n}\right)$."
10,10.12,Theorem,1,functional/10.12 Theorem_10_1.jpg,"
\[
\rho(x)=\lim _{n \rightarrow \infty}\left\|x^{n}\right\|^{1 / n}=\inf _{n \geq 1}\left\|x^{n}\right\|^{1 / n}
\]"
12,12.8,Theorem,6,functional/12.8 Theorem_12_6.jpg,"
\[
T^{* *}=T \text {. }
\]"
13,13.32,Theorem,2,functional/13.32 Theorem_13_2.jpg,"
\[
\left\|y_{i}-x\right\| \rightarrow 0 \text { as } i \rightarrow \infty
\]"
11,11.18,Theorem,1,functional/11.18 Theorem_11_1.jpg,"$$
\[
h\left(x^{*}\right)=\overline{h(x)} \quad(x \in A, h \in \Delta)
\]"
12,12.7,Theorem,1,functional/12.7 Theorem_12_1.jpg,"
\[
(T x, y)+(T y, x)=0 \quad(x \in H, y \in H) .
\]"
10,10.8,Lemma,2,functional/10.8 Lemma_10_2.jpg,"
\[
|g(\lambda)| \leq|2 r-g(\lambda)| \quad(|\lambda| \leq r)
\]"
13,13.38,Theorem,18,functional/13.38 Theorem_13_18.jpg,"$$
\[
A_{\varepsilon} x-B x=\left(\frac{e^{\varepsilon B}-I}{\varepsilon}-B\right) x
\]"
12,12.21,Theorem,12,functional/12.21 Theorem_12_12.jpg,"
\[
\|\Psi(s) x\| \leq\|s\|_{\infty}\|x\|,
\]"
6,6.25,Theorem,8,functional/6.25 Theorem_6_8.jpg,"
\[
\psi_{r}(x)=\psi\left(\frac{x}{r}\right) \quad\left(r>0, x \in R^{n}\right)
\]"
13,13.19,Theorem,14,functional/13.19 Theorem_13_14.jpg," $\quad 2 i V z=S x-i x, \quad 2 i z=S x+i x \quad[z \in \mathscr{D}(V)]$,"
9,9.13,Theorem,6,functional/9.13 Theorem_9_6.jpg,"
\[
\mu=\mu_{a}+\mu_{s},
\]"
10,10.19,Theorem,2,functional/10.19 Theorem_10_2.jpg,"$$
\[
\left\|y_{n}\right\|\left\|y_{n}^{-1}\right\| \leq M\|e\| \quad(n=1,2,3, \ldots) .
\]"
10,10.9,Theorem,14,functional/10.9 Theorem_10_14.jpg,"
\[
f(\lambda)=\phi(E(\lambda)) \quad(\lambda \in \mathscr{C}) .
\]"
10,10.9,Theorem,15,functional/10.9 Theorem_10_15.jpg,"
\[
E(\lambda) E(-\lambda)=E=e \quad(\lambda \in \mathbb{C})
\]"
10,10.19,Theorem,3,functional/10.19 Theorem_10_3.jpg,"
\[
f(\zeta)=\frac{1}{2 \pi i} \int_{\Gamma}(\lambda-\zeta)^{-1} f(\lambda) d \lambda
\]"
10,10.27,Theorem,3,functional/10.27 Theorem_10_3.jpg,"
\[
\tilde{h}(x)=\tilde{f}(x) \tilde{g}(x) \quad\left(x \in A_{\Omega}\right)
\]"
8,8.3,Lemma,6,functional/8.3 Lemma_8_6.jpg,"
\[
r^{N}\left|P_{N}(w)\right||f(z)| \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|(f P)\left(z+r e^{i \theta} w\right)\right| d \theta
\]"
13,13.19,Theorem,15,functional/13.19 Theorem_13_15.jpg,"
\[
V(S x+i x)=S x-i x \quad[x \in \mathscr{D}(S)]
\]"
12,12.21,Theorem,13,functional/12.21 Theorem_12_13.jpg,"$\Psi(s) x=\alpha_{j} E\left(\omega_{j}\right) x=\alpha_{j} x$,"
13,13.38,Theorem,19,functional/13.38 Theorem_13_19.jpg,"$$
\[
\left\|A_{\varepsilon} x-B x\right\|^{2}=\int_{\Delta}\left|\frac{e^{\varepsilon b}-1}{\varepsilon}-b\right|^{2} d E_{x, x} .
\]"
10,10.8,Lemma,3,functional/10.8 Lemma_10_3.jpg,"
\[
h_{r}(\lambda)=\frac{r^{2} g(\lambda)}{\lambda^{2}[2 r-g(\lambda)]}
\]"
13,13.32,Theorem,3,functional/13.32 Theorem_13_3.jpg,"
\[
\left\|N y_{i}-N x\right\| \rightarrow 0 \text { as } i \rightarrow \infty .
\]"
12,12.8,Theorem,7,functional/12.8 Theorem_12_7.jpg,"
\[
\left\|T^{*} T\right\|=\|T\|^{2}
\]"
7,7.19,Theorem,2,functional/7.19 Theorem_7_2.jpg," $\quad 1+|x+y|^{2} \leq 2\left(1+|x|^{2}\right)\left(1+|y|^{2}\right) \quad\left(x, y \in R^{n}\right)$"
12,12.28,Theorem,5,functional/12.28 Theorem_12_5.jpg,"
\[
\mathscr{N}(f(T)) \subset \mathscr{R}\left(E\left(\omega_{0}\right)\right)
\]"
7,7.23,Theorem,11,functional/7.23 Theorem_7_11.jpg,"
\[
|f(x)| \leq \gamma(1+|x|)^{N} \quad\left(x \in R^{n}\right) .
\]"
12,12.38,Theorem,3,functional/12.38 Theorem_12_3.jpg,"
\[
(f, g)=\int_{D} f \bar{g} d m_{2}
\]"
12,12.16,Theorem,5,functional/12.16 Theorem_12_5.jpg,"
\[
\exp (M) T=T \exp (N),
\]"
7,7.23,Theorem,6,functional/7.23 Theorem_7_6.jpg,"
\[
F=\int_{\Gamma} e_{-a-\lambda b} d \lambda
\]"
13,13.35,Theorem,10,functional/13.35 Theorem_13_10.jpg, $\varphi(s)=\left\{\exp \left((t-s) A_{\varepsilon}\right)\right\} Q(s) x \quad(0 \leq s \leq t)$.
11,11.11,Lemma,5,functional/11.11 Lemma_11_5.jpg,"
\[
|P(w)| \leq\left\|P\left(x_{1}, \ldots, x_{n}\right)\right\|
\]"
3,3.20,Theorem,3,functional/3.20 Theorem_3_3.jpg,"
\[
c_{i}=\frac{\alpha s_{i} a_{i}+\beta t_{i} b_{i}}{\alpha s_{i}+\beta t_{i}} \in A_{i} \quad(1 \leq i \leq n)
\]"
13,13.36,Theorem,7,functional/13.36 Theorem_13_7.jpg,"
\[
(I-\varepsilon A) S(\varepsilon) x=x=S(\varepsilon)(I-\varepsilon A) x
\]"
1,1.10,Theorem,1,functional/1.10 Theorem_1_1.jpg,"$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]"
8,8.7,Definition,2,functional/8.7 Definition_8_2.jpg,"
\[
L u=\sum_{|\alpha| \leq N} f_{\alpha} D_{\alpha} u
\]"
13,13.17,Definition,5,functional/13.17 Definition_13_5.jpg,"
\[
U(T x+i x)=T x-i x \quad(x \in \mathscr{D}(T))
\]"
3,3.20,Theorem,1,functional/3.20 Theorem_3_1.jpg,"
\[
f(s, a)=s_{1} a_{1}+\cdots+s_{n} a_{n}
\]"
7,7.3,Definition,1,functional/7.3 Definition_7_1.jpg,"$$
\[
\sup _{|\alpha| \leq N} \sup _{x \in R^{n}}\left(1+|x|^{2}\right)^{N}\left|\left(D_{\alpha} f\right)(x)\right|<\infty
\]"
13,13.35,Theorem,12,functional/13.35 Theorem_13_12.jpg,"$$
\[
\left\|\varphi^{\prime}(s)\right\| \leq K(t)\left\|A x-A_{\varepsilon} x\right\|
\]"
6,6.36,Definition,5,functional/6.36 Definition_6_5.jpg, $\quad(u *(v * w)) * \phi=u *((v * w) * \phi)=u *(v *(w * \phi))$.
7,7.23,Theorem,4,functional/7.23 Theorem_7_4.jpg,"
\[
\hat{u}(x)=u\left(e_{-x}\right) \quad\left(x \in R^{n}\right) .
\]"
11,11.11,Lemma,7,functional/11.11 Lemma_11_7.jpg,"
\[
h_{\infty}(f+\alpha \delta)=\alpha
\]"
12,12.38,Theorem,1,functional/12.38 Theorem_12_1.jpg,"
\[
\Omega=\left\{\alpha \in \mathbb{C}: \alpha^{2} \in D\right\}
\]"
12,12.16,Theorem,7,functional/12.16 Theorem_12_7.jpg,"
\[
\exp \left(M^{*}\right) T \exp \left(-N^{*}\right)=U_{1} T U_{2}
\]"
13,13.23,and,8,functional/13.23 and Theorem_13_8.jpg," $\Psi(f) \Psi(g) x=\Psi(f g) x \quad\left(x \in \mathscr{D}_{g}, f \in L^{\infty}\right)$."
10,10.12,Theorem,2,functional/10.12 Theorem_10_2.jpg,"
\[
\rho(x) \leq\|x\|
\]"
13,13.32,Theorem,1,functional/13.32 Theorem_13_1.jpg,"
\[
\|N y\|=\left\|N^{*} y\right\| \quad \text { if } y \in \mathscr{D}\left(N^{*} N\right) .
\]"
12,12.8,Theorem,5,functional/12.8 Theorem_12_5.jpg,"
\[
(S T)^{*}=T^{*} S^{*} \text {. }
\]"
12,12.7,Theorem,2,functional/12.7 Theorem_12_2.jpg," $\quad-i(T x, y)+i(T y, x)=0 \quad(x \in H, y \in H)$."
11,11.18,Theorem,2,functional/11.18 Theorem_11_2.jpg,"
\[
\left(x^{*}\right)^{\wedge}=\overline{\hat{x}} \quad(x \in A) .
\]"
12,12.21,Theorem,11,functional/12.21 Theorem_12_11.jpg," $\|\Psi(s) x\|^{2}=\left(\Psi(s)^{*} \Psi(s) x, x\right)=\left(\Psi\left(|s|^{2}\right) x, x\right)=\int_{\Omega}|s|^{2} d E_{x, x}$"
10,10.8,Lemma,1,functional/10.8 Lemma_10_1.jpg,"
\[
0<|f(\lambda)| \leq e^{|\lambda|} \quad(\lambda \in \mathscr{C})
\]"
10,10.27,Theorem,1,functional/10.27 Theorem_10_1.jpg, $\quad \tilde{f}(x)=\lim _{n \rightarrow \infty} \tilde{f}_{n}(x) \quad\left(x \in A_{\Omega}\right)$.
9,9.13,Theorem,5,functional/9.13 Theorem_9_5.jpg,"$$
\[
\int_{R^{n}} f(x+y) d \mu(x)=0
\]"
10,10.19,Theorem,1,functional/10.19 Theorem_10_1.jpg," $\quad\|x\|\|y\| \leq M\|x y\| \quad(x \in A, y \in A)$,"
9,9.13,Theorem,4,functional/9.13 Theorem_9_4.jpg,"
\[
\|\mu * \lambda\| \leq\|\mu\|\|\lambda\|,
\]"
8,8.3,Lemma,5,functional/8.3 Lemma_8_5.jpg," $\quad F(\lambda)=f(z+r \lambda w), \quad Q(\lambda)=P(z+r \lambda w) \quad(\lambda \in \mathscr{C})$."
12,12.21,Theorem,10,functional/12.21 Theorem_12_10.jpg,"
\[
\Psi(s)^{*} \Psi(s)=\Psi(\bar{s}) \Psi(s)=\Psi(\bar{s} s)=\Psi\left(|s|^{2}\right)
\]"
11,11.18,Theorem,3,functional/11.18 Theorem_11_3.jpg,"
\[
\alpha^{2}+\beta^{2}+2 \beta t \leq\|u\|^{2} \quad(-\infty<t<\infty) .
\]"
12,12.7,Theorem,3,functional/12.7 Theorem_12_3.jpg,"
\[
(T x, y)=0 \quad(x \in H, y \in H) .
\]"
12,12.8,Theorem,4,functional/12.8 Theorem_12_4.jpg,"
\[
(\alpha T)^{*}=\bar{\alpha} T^{*} .
\]"
10,10.12,Theorem,3,functional/10.12 Theorem_10_3.jpg,"
\[
f(\lambda)=(\lambda e-x)^{-1} \quad(\lambda \in \Omega) .
\]"
13,13.23,and,9,functional/13.23 and Theorem_13_9.jpg," $\quad \int_{\Omega}|f|^{2} d E_{y, y}=\int_{\Omega}|f g|^{2} d E_{x, x} \quad\left(x \in \mathscr{D}_{g}, f \in L^{\infty}\right)$."
7,7.23,Theorem,12,functional/7.23 Theorem_7_12.jpg,"
\[
f_{\varepsilon}(z)=f(z) \hat{h}_{\varepsilon}(z) \quad\left(z \in \mathbb{C}^{n}\right)
\]"
12,12.16,Theorem,6,functional/12.16 Theorem_12_6.jpg,"
\[
T=\exp (-M) T \exp (N)
\]"
7,7.19,Theorem,1,functional/7.19 Theorem_7_1.jpg,"
\[
\left(\frac{\tau_{-\varepsilon w}-\tau_{0}}{\varepsilon}\right)(u * \phi)=u *\left(\frac{\tau_{-\varepsilon w}-\tau_{0}}{\varepsilon}\right) \phi
\]"
11,11.11,Lemma,6,functional/11.11 Lemma_11_6.jpg,"
\[
h_{t}(f+\alpha \delta)=\hat{f}(t)+\alpha
\]"
13,13.35,Theorem,13,functional/13.35 Theorem_13_13.jpg,"
\[
\left\|Q(t) x-\left\{\exp \left(t A_{\varepsilon}\right)\right\} x\right\| \leq t K(t)\left\|A x-A_{\varepsilon} x\right\|,
\]"
6,6.36,Definition,4,functional/6.36 Definition_6_4.jpg,"
\[
(u * v)(\phi)=u\left((v * \varnothing)^{\vee}\right) .
\]"
11,11.8,Definition,3,functional/11.8 Definition_11_3.jpg,"
\[
W=\left\{\Lambda \in A^{*}:\left|\Lambda z_{i}-\Lambda_{0} z_{i}\right|<\varepsilon \text { for } 1 \leq i \leq 4\right\},
\]"
7,7.23,Theorem,5,functional/7.23 Theorem_7_5.jpg,"$$
\[
g(\lambda)=f(a+\lambda b)=u\left(e_{-a-\lambda b}\right) \quad(\lambda \in \mathbb{C})
\]"
7,7.17,Lemma,4,functional/7.17 Lemma_7_4.jpg, $\quad P \cdot D^{\alpha}\left(\psi_{\varepsilon} \hat{\phi}\right)=\sum_{\beta \leq \alpha} c_{\alpha \beta} P \cdot\left(D^{\alpha-\beta} \hat{\phi}\right) \cdot\left(D^{\beta} \psi_{\varepsilon}\right)$.
13,13.17,Definition,4,functional/13.17 Definition_13_4.jpg," $\quad \mathscr{D}(U)=\mathscr{R}(T+i I), \quad \mathscr{R}(U)=\mathscr{R}(T-i I)$,"
13,13.36,Theorem,4,functional/13.36 Theorem_13_4.jpg,"$$
\[
R(\lambda)^{m} x=\frac{1}{(m-1) !} \int_{0}^{\infty} t^{m-1} e^{-\lambda t} Q(t) x d t
\]"
8,8.7,Definition,1,functional/8.7 Definition_8_1.jpg,"
\[
L=\sum_{|\alpha| \leq N} f_{\alpha} D_{\alpha}
\]"
6,6.20,Theorem,2,functional/6.20 Theorem_6_2.jpg,"$$
\[
\psi_{i+1}=\left(1-\phi_{1}\right) \cdots\left(1-\phi_{i}\right) \phi_{i+1} \quad(i \geq 1) .
\]"
8,8.7,Definition,5,functional/8.7 Definition_8_5.jpg,"$$
\[
\Delta=\frac{\partial^{2}}{\partial x_{1}^{2}}+\cdots+\frac{\partial^{2}}{\partial x_{n}^{2}}
\]"
8,8.9,Theorem,9,functional/8.9 Theorem_8_9.jpg,"$$
\[
\left(\sum_{|\alpha|=N} f_{\alpha} D_{\alpha} w\right)^{\wedge}=p \hat{w}=(r-q) \hat{w}=(R w-Q w)^{\wedge}
\]"
7,7.23,Theorem,1,functional/7.23 Theorem_7_1.jpg,"
\[
f(z)=u\left(e_{-z}\right) \quad\left(z \in \mathbb{C}^{n}\right)
\]"
13,13.35,Theorem,17,functional/13.35 Theorem_13_17.jpg,$R(\lambda) A_{\varepsilon} x=\int_{0}^{\infty} e^{-\lambda t} Q(t) A_{\varepsilon} x d t$
11,11.11,Lemma,2,functional/11.11 Lemma_11_2.jpg,"
\[
\left\|x^{2}\right\| \geq\left\|\hat{x}^{2}\right\|_{\infty}=\|\hat{x}\|_{\infty}^{2} \geq s^{2}\|x\|^{2}
\]"
3,3.20,Theorem,4,functional/3.20 Theorem_3_4.jpg,"
\[
c o(E) \subset c o(F)+V .
\]"
10,10.12,Theorem,7,functional/10.12 Theorem_10_7.jpg,"
\[
x^{n}=\frac{1}{2 \pi i} \int_{\Gamma_{r}} \lambda^{n} f(\lambda) d \lambda \quad(r>\|x\|, n=0,1,2, \ldots)
\]"
7,7.19,Theorem,5,functional/7.19 Theorem_7_5.jpg,"$$
\[
|(u * \phi)(x)|=\left|u\left(\tau_{x} \varnothing\right)\right| \leq 2^{N} C p_{N}(\phi)\left(1+|x|^{2}\right)^{N},
\]"
12,12.28,Theorem,2,functional/12.28 Theorem_12_2.jpg,"
\[
\mathscr{R}\left(E\left(\omega_{0}\right)\right) \subset \mathscr{N}(f(T))
\]"
7,7.7,and,3,functional/7.7 and (c) of Theorem_7_3.jpg,"
\[
\hat{u}(\phi)=u(\hat{\phi}) \quad\left(\phi \in \mathscr{S}_{n}, u \in \mathscr{S}_{n}^{\prime}\right)
\]"
12,12.38,Theorem,4,functional/12.38 Theorem_12_4.jpg,"
\[
(M f)(z)=z f(z) \quad(f \in H, z \in D) .
\]"
12,12.16,Theorem,2,functional/12.16 Theorem_12_2.jpg,"
\[
Q=\exp (V)=\sum_{n=0}^{\infty}\left(\frac{1}{n !}\right) V^{n}
\]"
13,13.32,Theorem,4,functional/13.32 Theorem_13_4.jpg,"
\[
\left\|N^{*} y_{i}-z\right\| \rightarrow 0 \text { as } i \rightarrow \infty
\]"
12,12.21,Theorem,14,functional/12.21 Theorem_12_14.jpg,"
\[
\|\Psi(s)\|=\|s\|_{\infty} .
\]"
10,10.8,Lemma,4,functional/10.8 Lemma_10_4.jpg,"
\[
\left|h_{r}(\lambda)\right| \leq 1 \quad(|\lambda| \leq r)
\]"
13,13.19,Theorem,12,functional/13.19 Theorem_13_12.jpg,"$$
\[
S x=i(z+V z) \quad \text { if } x=z-V z .
\]"
10,10.9,Theorem,12,functional/10.9 Theorem_10_12.jpg,"
\[
f(\lambda)=\sum_{n=0}^{\infty} \frac{\phi\left(a^{n}\right)}{n !} \lambda^{n} \quad(\lambda \in \mathscr{C})
\]"
10,10.9,Theorem,13,functional/10.9 Theorem_10_13.jpg,"
\[
E(\lambda)=\sum_{n=0}^{\infty} \frac{\lambda^{n}}{n !} a^{n}
\]"
9,9.13,Theorem,1,functional/9.13 Theorem_9_1.jpg,"$$
\[
\phi(x)-(\phi * \mu)(x)=0
\]"
13,13.19,Theorem,13,functional/13.19 Theorem_13_13.jpg," $(S x, y)=i(z+V z, u-V u)=i(V z, u)-i(z, V u)$"
12,12.21,Theorem,15,functional/12.21 Theorem_12_15.jpg,"
\[
\|\Psi(f)\|=\|f\|_{\infty} \quad\left(f \in L^{\infty}(E)\right) .
\]"
12,12.8,Theorem,1,functional/12.8 Theorem_12_1.jpg,"$$
\[
M=\sup \{|f(x, y)|:\|x\|=\|y\|=1\}<\infty,
\]"
13,13.32,Theorem,5,functional/13.32 Theorem_13_5.jpg,"
\[
\left\|N^{*} x\right\|=\|z\|=\lim \left\|N^{*} y_{i}\right\|=\lim \left\|N y_{i}\right\|=\|N x\| .
\]"
1,1.18,Theorem,1,functional/1.18 Theorem_1_1.jpg,"
\[
(x+V) \cap \mathscr{N}(\Lambda)=\varnothing
\]"
7,7.7,and,2,functional/7.7 and (c) of Theorem_7_2.jpg,"$$
\[
V=\left\{u \in \mathscr{S}_{n}^{\prime}:\left|u\left(\hat{\phi}_{i}\right)\right|<1 \quad \text { for } \quad 1 \leq i \leq k\right\}
\]"
12,12.28,Theorem,3,functional/12.28 Theorem_12_3.jpg,"
\[
f_{n}(\lambda)=\left\{\begin{array}{ll}
1 / f(\lambda) & \text { on } \omega_{n}, \\
0 & \text { elsewhere on } \sigma(T) .
\end{array}\right.
\]"
12,12.16,Theorem,3,functional/12.16 Theorem_12_3.jpg,"
\[
Q^{*}=\exp \left(V^{*}\right)=\exp (-V)=Q^{-1}
\]"
12,12.38,Theorem,5,functional/12.38 Theorem_12_5.jpg,"$$
\[
\sum_{n=0}^{\infty}(n+1)^{-1}\left|a_{n}\right|^{2} \delta^{2 n+2}=\frac{1}{\pi} \int_{\Delta}|f|^{2} d m_{2}
\]"
7,7.19,Theorem,4,functional/7.19 Theorem_7_4.jpg,"
\[
|u(f)| \leq C p_{N}(f) \quad\left(f \in \mathscr{S}_{n}\right) ;
\]"
10,10.12,Theorem,6,functional/10.12 Theorem_10_6.jpg,"
\[
f(\lambda)=\sum_{n=0}^{\infty} \lambda^{-n-1} x^{n}=\lambda^{-1} e+\lambda^{-2} x+\cdots
\]"
3,3.20,Theorem,5,functional/3.20 Theorem_3_5.jpg,"$$
\[
c o(E) \subset F_{1}+V+V \subset F_{1}+U .
\]"
7,7.17,Lemma,1,functional/7.17 Lemma_7_1.jpg,"
\[
\phi_{\varepsilon}(x)=\frac{\phi(x+\varepsilon w)-\phi(x)}{\varepsilon} \quad\left(x \in R^{n}, \varepsilon>0\right)
\]"
11,11.11,Lemma,3,functional/11.11 Lemma_11_3.jpg,"
\[
\left\|x^{m}\right\| \geq r^{m-1}\|x\|^{m} \quad\left(m=2^{n}, n=1,2,3, \ldots\right) .
\]"
3,3.27,Theorem,1,functional/3.27 Theorem_3_1.jpg,"
\[
y=\int_{Q} f d \mu
\]"
6,6.36,Definition,1,functional/6.36 Definition_6_1.jpg,"
\[
L \phi=u *(v * \phi) \quad(\phi \in \mathscr{D}) .
\]"
13,13.35,Theorem,16,functional/13.35 Theorem_13_16.jpg,"$$
\[
(\lambda I-A) R(\lambda) x=x \quad(x \in X) .
\]"
8,8.9,Theorem,8,functional/8.9 Theorem_8_8.jpg,"
\[
\|f u\|_{s} \leq\left(2^{|s|} \gamma\right)^{1 / 2}\|f\|_{t}\|u\|_{s} .
\]"
13,13.36,Theorem,1,functional/13.36 Theorem_13_1.jpg,"
\[
A_{\varepsilon}=\left(M_{t}\right)^{-1} A_{t} M_{\varepsilon} .
\]"
8,8.7,Definition,4,functional/8.7 Definition_8_4.jpg,"
\[
p(x, y)=\sum_{|\alpha|=N} f_{\alpha}(x) y^{\alpha} \quad\left(x \in \Omega, y \in R^{n}\right)
\]"
6,6.20,Theorem,3,functional/6.20 Theorem_6_3.jpg,"
\[
\psi_{1}+\cdots+\psi_{i}=1-\left(1-\phi_{1}\right) \cdots\left(1-\phi_{i}\right)
\]"
6,6.20,Theorem,1,functional/6.20 Theorem_6_1.jpg,"
\[
\psi_{1}(x)+\cdots+\psi_{m}(x)=1
\]"
13,13.17,Definition,3,functional/13.17 Definition_13_3.jpg, $\quad\|T x+i x\|^{2}=\|x\|^{2}+\|T x\|^{2}=\|T x-i x\|^{2} \quad(x \in \mathscr{D}(T))$.
13,13.36,Theorem,3,functional/13.36 Theorem_13_3.jpg, $\quad \lim _{\varepsilon \rightarrow 0}\left\|\exp \left(t A_{\varepsilon}\right)-\exp (t A)\right\|=0 \quad(0 \leq t<\infty)$.
3,3.27,Theorem,3,functional/3.27 Theorem_3_3.jpg,"
\[
m_{i}=\int_{Q}\left(\Lambda_{i} f\right) d \mu \quad(1 \leq i \leq n)
\]"
11,11.11,Lemma,1,functional/11.11 Lemma_11_1.jpg," $\quad r=\inf \frac{\left\|x^{2}\right\|}{\|x\|^{2}}, \quad s=\inf \frac{\|\hat{x}\|_{\infty}}{\|x\|} \quad(x \in A, x \neq 0)$,"
3,3.30,Definition,8,functional/3.30 Definition_3_8.jpg,"
\[
f(z)-f \in z t V \quad(0<|z| \leq r) .
\]"
11,11.8,Definition,4,functional/11.8 Definition_11_4.jpg,"
\[
\left|1-\Lambda_{0} e\right|=\left|h(e)-\Lambda_{0} e\right|<\varepsilon,
\]"
13,13.35,Theorem,14,functional/13.35 Theorem_13_14.jpg, $\quad\|R(\lambda)\| \leq C \int_{0}^{\infty} e^{(\gamma-\operatorname{Re} \lambda) t} d t=\frac{C}{\operatorname{Re}(\lambda-\gamma)}<\infty$
6,6.36,Definition,3,functional/6.36 Definition_6_3.jpg,"
\[
(u * v) * \phi=u *(v * \phi) \quad(\phi \in \mathscr{D}) .
\]"
7,7.23,Theorem,2,functional/7.23 Theorem_7_2.jpg,"$$
\[
|f(z)| \leq \gamma(1+|z|)^{N} e^{r|\operatorname{Im} z|} \quad\left(z \in \mathbb{C}^{n}\right) .
\]"
13,13.14,Definition,1,functional/13.14 Definition_13_1.jpg," $T \subset S, \quad S$ symmetric"
3,3.20,Theorem,7,functional/3.20 Theorem_3_7.jpg,"
\[
\left(t, x_{1}, \ldots, x_{n+1}\right) \rightarrow t_{1} x_{1}+\cdots+t_{n+1} x_{n+1} .
\]"
7,7.17,Lemma,3,functional/7.17 Lemma_7_3.jpg," $\quad \psi_{\varepsilon}(y)=\frac{\exp \left(i \varepsilon y_{1}\right)-1}{\varepsilon}-i y_{1} \quad\left(y \in R^{n}, \varepsilon>0\right)$."
10,10.12,Theorem,4,functional/10.12 Theorem_10_4.jpg," $\quad\left\|f(\mu)-f(\lambda)+(\mu-\lambda) f^{2}(\lambda)\right\| \leq 2\|f(\lambda)\|^{3} \cdot \mu-\left.\lambda\right|^{2}$,"
13,13.35,Theorem,9,functional/13.35 Theorem_13_9.jpg, $\quad\left\|\exp \left(t A_{\varepsilon}\right)\right\| \leq C \exp \left\{\frac{t}{\varepsilon}\left(e^{t \varepsilon \gamma}-1\right)\right\}<C \exp \left(t e^{\gamma t}\right)$
12,12.16,Theorem,1,functional/12.16 Theorem_12_1.jpg,"$I \in \mathscr{B}(H), M$ ana $N$ are normal, and

\[
M T=T N .
\]"
12,12.38,Theorem,7,functional/12.38 Theorem_12_7.jpg," $\quad M_{\lambda}=M-\lambda I, \quad S=Q-\alpha I, \quad T=Q+\alpha I$,"
7,7.19,Theorem,6,functional/7.19 Theorem_7_6.jpg,"
\[
(u * \phi)^{\wedge}(\hat{\psi})=(\hat{\phi} \hat{u})(\hat{\psi}) .
\]"
12,12.8,Theorem,3,functional/12.8 Theorem_12_3.jpg,"
\[
(T+S)^{*}=T^{*}+S^{*}
\]"
