Theorem,Statement,Proof
6.24 (b),"Suppose $\Lambda \in \mathscr{D}^{\prime}(\Omega)$ and $S_{\Lambda}$ is the support of $\Lambda$. If $S_{\Lambda}$ is empty, then $\Lambda=0$.",Parts (a) and $(b)$ are obvious.
6.24 (c),"Suppose $\Lambda \in \mathscr{D}^{\prime}(\Omega)$ and $S_{\Lambda}$ is the support of $\Lambda$. If $\psi \in C^{\infty}(\Omega)$ and $\psi=1$ in some open set $V$ containing $S_{\Lambda}$, then $\psi \Lambda=\Lambda$.","If $\psi$ is as in $(c)$ and if $\phi \in \mathscr{D}(\Omega)$, then the support of $\phi-\psi \phi$ does not intersect $S_{\Lambda}$. Thus $\Lambda \phi=$ $\Lambda(\psi \phi)=(\psi \Lambda)(\phi)$, by $(a)$."
6.24 (d),"Suppose $\Lambda \in \mathscr{D}^{\prime}(\Omega)$ and $S_{\Lambda}$ is the support of $\Lambda$. If $S_{\Lambda}$ is a compact subset of $\Omega$, then $\Lambda$ has finite order; in fact, there is a constant $C<\infty$ and a nonnegative integer $N$ such that

$$
|\Lambda \phi| \leq C\|\phi\|_{N}
$$

for every $\phi \in \mathscr{D}(\Omega)$. Furthermore, $\Lambda$ extends in a unique way to a continuous linear functional on $C^{\infty}(\Omega)$.","If $S_{\Lambda}$ is compact, it follows from Theorem 6.20 that there exists $\psi \in \mathscr{D}(\Omega)$ that satisfies (c). Fix such a $\psi$; call its support $K$. By Theorem 6.8, there exist $c_{1}$ and $N$ such that $|\Lambda \phi| \leq c_{1}\|\phi\|_{N}$ for all $\phi \in \mathscr{D}_{K}$. The Leibniz formula shows that there is a constant $c_{2}$ such that $\|\psi \phi\|_{N} \leq c_{2}\|\phi\|_{N}$ for every $\phi \in \mathscr{D}(\Omega)$. Hence

$$
|\Lambda \phi|=|\Lambda(\psi \phi)| \leq c_{1}\|\psi \phi\|_{N} \leq c_{1} c_{2}\|\phi\|_{N}
$$

for every $\phi \in \mathscr{D}(\Omega)$.

Since $\Lambda \phi=\Lambda(\psi \phi)$ for all $\phi \in \mathscr{D}(\Omega)$, the formula

$$
\Lambda f=\Lambda(\psi f) \quad\left[f \in C^{\infty}(\Omega)\right]
$$

defines an extension of $\Lambda$. This extension is continuous, for if $f_{i} \rightarrow 0$ in $C^{\infty}(\Omega)$, then each derivative of $f_{i}$ tends to 0 , uniformly on compact subsets of $\Omega$; the Leibniz formula shows therefore that $\psi f_{i} \rightarrow 0$ in $\mathscr{D}(\Omega)$; since $\Lambda \in \mathscr{D}^{\prime}(\Omega)$, it follows that $\Lambda f_{i} \rightarrow 0$.

If $f \in C^{\infty}(\Omega)$ and if $K_{0}$ is any compact subset of $\Omega$, there exists $\phi \in \mathscr{D}(\Omega)$ such that $\phi=f$ on $K_{0}$. It follows that $\mathscr{D}(\Omega)$ is dense in $C^{\infty}(\Omega)$. Each $\Lambda \in \mathscr{D}^{\prime}(\Omega)$ has therefore at most one continuous extension to $C^{\infty}(\Omega)$."
1.15 (a),"Suppose $V$ is a neighborhood of 0 in a topological vector space $X$ and $0<r_{1}<r_{2}<\cdots$ and $r_{n} \rightarrow \infty$ as $n \rightarrow \infty$, then

$$
X=\bigcup_{n=1}^{\infty} r_{n} V
$$","Fix $x \in X$. Since $\alpha \rightarrow \alpha x$ is a continuous mapping of the scalar field into $X$, the set of all $\alpha$ with $\alpha x \in V$ is open, contains 0 , hence contains $1 / r_{n}$ for all large $n$. Thus $\left(1 / r_{n}\right) x \in V$, or $x \in r_{n} V$, for large $n$."
1.15 (b),"Suppose $V$ is a neighborhood of 0 in a topological vector space $X$, then every compact subset $K$ of $X$ is bounded.","Let $W$ be a balanced neighborhood of 0 such that $W \subset V$. By $(a)$,

$$
K \subset \bigcup_{n=1}^{\infty} n W
$$

Since $K$ is compact, there are integers $n_{1}<\cdots<n_{s}$ such that

$$
K \subset n_{1} W \cup \cdots \cup n_{s} W=n_{s} W .
$$

The equality holds because $W$ is balanced. If $t>n_{s}$, it follows that $K \subset t W \subset t V$."
1.15 (c),"Suppose $V$ is a neighborhood of 0 in a topological vector space $X$ and $V$ is bounded, and if $\delta_{1}>\delta_{2}>\cdots$ and $\delta_{n} \rightarrow 0$ as $n \rightarrow \infty$, then the collection

$$
\left\{\delta_{n} V: n=1,2,3, \ldots\right\}
$$

is a local base for $X$.","Let $U$ be a neighborhood of 0 in $X$. If $V$ is bounded, there exists $s>0$ such that $V \subset t U$ for all $t>s$. If $n$ is so large that $s \delta_{n}<1$, it follows that $V \subset\left(1 / \delta_{n}\right) U$. Hence $U$ actually contains all but finitely many of the sets $\delta_{n} V$."
3.4 (a),"Suppose $A$ and $B$ are disjoint, nonempty, convex sets in a topological vector space $X$ and $A$ is open: there exist $\Lambda \in X^{*}$ and $\gamma \in R$ such that

$$
\operatorname{Re} \Lambda x<\gamma \leq \operatorname{Re} \Lambda y
$$

for every $x \in A$ and for every $y \in B$.","It is enough to prove this for real scalars. For if the scalar field is $\mathscr{C}$ and the real case has been proved, then there is a continuous real-linear $\Lambda_{1}$ on $X$ that gives the required separation; if $\Lambda$ is the
unique complex-linear functional on $X$ whose real part is $\Lambda_{1}$, then $\Lambda \in X^{*}$. (See Section 3.1.) Assume real scalars.

(a) Fix $A_{0} \in A, b_{0} \in B$. Put $x_{0}=b_{0}-a_{0}$; put $C=A-B+x_{0}$. Then $C$ is a convex neighborhood of 0 in $X$. Let $p$ be the Minkowski functional of $C$. By Theorem 1.35, $p$ satisfies hypothesis $(b)$ of Theorem 3.2. Since $A \cap B=\varnothing, x_{0} \notin C$, and so $p\left(x_{0}\right) \geq 1$.

Define $f\left(t x_{0}\right)=t$ on the subspace $M$ of $X$ generated by $x_{0}$. If $t \geq 0$ then

$$
f\left(t x_{0}\right)=t \leq t p\left(x_{0}\right)=p\left(t x_{0}\right)
$$

if $t<0$ then $f\left(t x_{0}\right)<0 \leq p\left(t x_{0}\right)$. Thus $f \leq p$ on $M$. By Theorem 3.2, $f$ extends to a linear functional $\Lambda$ on $X$ that also satisfies $\Lambda \leq p$. In particular, $\Lambda \leq 1$ on $C$, hence $\Lambda \geq-1$ on $-C$, so that $|\Lambda| \leq 1$ on the neighborhood $C \cap(-C)$ of 0 . By Theorem 1.18, $\Lambda \in X^{*}$.

If now $\alpha \in A$ and $b \in B$, we have

$$
\Lambda a-\Lambda b+1=\Lambda\left(a-b+x_{0}\right) \leq p\left(a-b+x_{0}\right)<1
$$

since $\Lambda x_{0}=1, a-b+x_{0} \in C$, and $C$ is open. Thus $\Lambda a<\Lambda b$.

It follows that $\Lambda(A)$ and $\Lambda(B)$ are disjoint convex subsets of $R$, with $\Lambda(A)$ to the left of $\Lambda(B)$. Also, $\Lambda(A)$ is an open set since $A$ is open and since every nonconstant linear functional on $X$ is an open mapping. Let $\gamma$ be the right end point of $\Lambda(A)$ to get the conclusion of part $(a)$."
3.4 (b),"Suppose $A$ and $B$ are disjoint, nonempty, convex sets in a topological vector space $X$, $A$ is compact, $B$ is closed, and $X$ is locally convex: then there exist $\Lambda \in X^{*}, \gamma_{1} \in R, \gamma_{2} \in R$, such that

$$
\operatorname{Re} \Lambda x<\gamma_{1}<\gamma_{2}<\operatorname{Re} \Lambda y
$$

for every $x \in A$ and for every $y \in B$.","By Theorem 1.10 there is a convex neighborhood $V$ of 0 in $X$ such that $(A+V) \cap B=\varnothing$. Part $(a)$, with $A+V$ in place of $A$, shows that there exists $\Lambda \in X^{*}$ such that $\Lambda(A+V)$ and $\Lambda(B)$ are disjoint convex subsets of $R$, with $\Lambda(A+V)$ open and to the left of $\Lambda(B)$. Since $\Lambda(A)$ is a compact subset of $\Lambda(A+V)$, we obtain the conclusion of $(b)$."
5.5,"Suppose $\mu_{1}, \ldots, \mu_{n}$ are real-valued nonatomic measures on a $\sigma$-algebra $\mathfrak{M}$. Define

$$
\mu(E)=\left(\mu_{1}(E), \ldots, \mu_{n}(E)\right) \quad(E \in \mathfrak{M})
$$

Then $\mu$ is a function with domain $\mathfrak{M}$ whose range is a compact convex subset of $R^{n}$.

","Associate to each bounded measurable real function $g$ the vector

$$
\Lambda g=\left(\int g d \mu_{1}, \ldots, \int g d \mu_{n}\right)
$$

in $R^{n}$. Put $\sigma=\left|\mu_{1}\right|+\cdots+\left|\mu_{n}\right|$. If $g_{1}=g_{2}$ a.e. $[\sigma]$, then $\Lambda g_{1}=\Lambda g_{2}$. Hence $\Lambda$ may be regarded as a linear mapping of $L^{\infty}(\sigma)$ into $R^{n}$.

Each $\mu_{i}$ is absolutely continuous with respect to $\sigma$. The RadonNikodym theorem [23] shows therefore that there are functions $h_{i} \in L^{1}(\sigma)$ such that $d \mu_{i}=h_{i} d \sigma(1 \leq i \leq n)$. Hence $\Lambda$ is a weak*continuous linear mapping of $L^{\infty}(\sigma)$ into $R^{n}$; recall that $L^{\infty}(\sigma)=L^{1}(\sigma)^{*}$. Put

$$
K=\left\{g \in L^{\infty}(\sigma): 0 \leq g \leq 1\right\}
$$

It is obvious that $K$ is convex. Since $g \in K$ if and only if

$$
0 \leq \int f g d \sigma \leq \int f d \sigma
$$

for every nonnegative $f \in L^{1}(\sigma), K$ is weak*-closed. And since $K$ lies in the closed unit ball of $L^{\infty}(\sigma)$, the Banach-Alaoglu theorem shows that $K$ is weak*-compact. Hence $\Lambda(K)$ is a compact convex set in $R^{n}$.

We shall prove that $\mu(\mathfrak{M})=\Lambda(K)$.

If $\chi_{E}$ is the characteristic function of a set $E \in \mathfrak{M}$, then $\chi_{E} \in K$ and $\mu(E)=\Lambda g$. Thus $\mu(\mathfrak{M}) \subset \Lambda(K)$. To obtain the opposite inclusion, pick a point $p \in \Lambda(K)$ and define

$$
K_{p}=\{g \in K: \Lambda g=p\}
$$

We have to show that $K_{p}$ contains some $\chi_{E}$, for then $p=\mu(E)$.

Note that $K_{p}$ is convex; since $\Lambda$ is continuous, $K_{p}$ is weak*compact. By the Krein-Milman theorem, $K_{p}$ has an extreme point.

Suppose $g_{0} \in K_{p}$ and $g_{0}$ is not a characteristic function in $L^{\infty}(\sigma)$. Then there is a set $E \in \mathfrak{M}$ and an $r>0$ such that $\sigma(E)>0$ and $r \leq$ $g_{0} \leq 1-r$ on $E$. Put $Y=\chi_{E} \cdot L^{\infty}(\sigma)$. Since $\sigma(E)>0$ and $\sigma$ is nonatomic, $\operatorname{dim} Y>n$. Hence there exists $g \in Y$, not the zero element of $L^{\infty}(\sigma)$, such that $\Lambda g=0$, and such that $-r<g<r$. It follows that $g_{0}+g$ and $g_{0}-g$ are in $K_{p}$. Thus $g_{0}$ is not an extreme point of $K_{p}$.

Every extreme point of $K_{p}$ is therefore a characteristic function. This completes the proof."
4.9 (a),"Let $M$ be a closed subspace of a Banach space $X$: The Hahn-Banach theorem extends each $m^{*} \in M^{*}$ to a functional $x^{*} \in X^{*}$. Define

$$
\sigma m^{*}=x^{*}+M^{\perp} \text {. }
$$

Then $\sigma$ is an isometric isomorphism of $M^{*}$ onto $X^{*} / M^{\perp}$","If $x^{*}$ and $x_{1}^{*}$ are extensions of $m^{*}$, then $x^{*}-x_{1}^{*}$ is in $M^{\perp}$; hence $x^{*}+M^{\perp}=x_{1}^{*}+M^{\perp}$. Thus $\sigma$ is well defined. A trivial verification shows that $\sigma$ is linear. Since the restriction of every $x^{*} \in X^{*}$ to $M$ is a member of $M^{*}$, the range of $\sigma$ is all of $X^{*} / M^{\perp}$.

Fix $m^{*} \in M^{*}$. If $x^{*} \in X^{*}$ extends $m^{*}$, it is obvious that $\left\|m^{*}\right\| \leq\left\|x^{*}\right\|$. The greatest lower bound of the numbers $\left\|x^{*}\right\|$ so obtained is $\left\|x^{*}+M^{\perp}\right\|$, by the definition of the quotient norm. Hence

$$
\left\|m^{*}\right\| \leq\left\|\sigma m^{*}\right\| \leq\left\|x^{*}\right\| .
$$

But Theorem 3.3 furnishes an extension $x^{*}$ of $m^{*}$ with $\left\|x^{*}\right\|=\left\|m^{*}\right\|$. It follows that $\left\|\sigma m^{*}\right\|=\left\|m^{*}\right\|$. This completes $(a)$."
4.9 (b),"Let $M$ be a closed subspace of a Banach space $X$ and let $\pi: X \rightarrow X / M$ be the quotient map. Put $Y=X / M$. For each $y^{*} \in Y^{*}$, define

$$
\tau y^{*}=y^{*} \pi \text {. }
$$

Then $\tau$ is an isometric isomorphism of $Y^{*}$ onto $M^{\perp}$","If $x \in X$ and $y^{*} \in Y^{*}$, then $\pi x \in Y$; hence $x \rightarrow y^{*} \pi x$ is a continuous linear functional on $X$ which vanishes for $x \in M$. Thus $\tau y^{*} \in M^{\perp}$. The linearity of $\tau$ is obvious. Fix $x^{*} \in M^{\perp}$. Let $N$ be the null space of $x^{*}$. Since $M \subset N$, there is a linear functional $\Lambda$ on $Y$ such that $\Lambda \pi=x^{*}$. The null space of $\Lambda$ is $\pi(N)$, a closed subspace of $Y$, by the definition of the quotient topology in $Y=X / M$. By Theorem 1.18, $\Lambda$ is continuous, that is, $\Lambda \in Y^{*}$. Hence $\tau \Lambda=\Lambda \pi=x^{*}$. The range of $\tau$ is therefore all of $M^{\perp}$.

It remains to be shown that $\tau$ is an isometry.

Let $B$ be the open unit ball in $X$. Then $\pi B$ is the open unit ball of $Y=\pi X$. Since $\tau y^{*}=y^{*} \pi$, we have

$$
\begin{aligned}
\left\|\tau y^{*}\right\| & =\left\|y^{*} \pi\right\|=\sup \left\{\left|\left\langle\pi x, y^{*}\right\rangle\right|: x \in B\right\} \\
& =\sup \left\{\left|\left\langle y, y^{*}\right\rangle\right|: y \in \pi B\right\}=\left\|y^{*}\right\|
\end{aligned}
$$

for every $y^{*} \in Y^{*}$."
1.41 (a),"Let $N$ be a closed subspace of a topological vector space $X$. Define $\tau_{N}$ as the quotient topology induced by the natural map $\pi: X \rightarrow X / N$.

$\tau_{N}$ is a vector topology on $X / N$; the quotient map $\pi$ is linear, continuous, and open.","Since $\pi^{-1}(A \cap B)=\pi^{-1}(A) \cap \pi^{-1}(B)$ and

$$
\pi^{-1}\left(\bigcup E_{\lambda}\right)=\bigcup \pi^{-1}\left(E_{\lambda}\right)
$$

$\tau_{N}$ is a topology. A set $F \subset X / N$ is $\tau_{N}$-closed if and only if $\pi^{-1}(F)$ is $\tau$-closed. In particular, every point of $X / N$ is closed, since

$$
\pi^{-1}(\pi(x))=N+x
$$

and $N$ was assumed to be closed.

The continuity of $\pi$ follows directly from the definition of $\tau_{N}$. Next, suppose $V \in \tau$. Since

$$
\pi^{-1}(\pi(V))=N+V
$$

and $N+V \in \tau$, it follows that $\pi(V) \in \tau_{N}$. Thus $\pi$ is an open mapping.

If now $W$ is a neighborhood of 0 in $X / N$, there is a neighborhood $V$ of 0 in $X$ such that

$$
V+V \subset \pi^{-1}(W)
$$

Hence $\pi(V)+\pi(V) \subset W$. Since $\pi$ is open, $\pi(V)$ is a neighborhood of 0 in $X / N$. Addition is therefore continuous in $X / N$.

The continuity of scalar multiplication in $X / N$ is proved in the same manner."
1.41 (b),"Let $\mathscr{B}$ be a local base for the topology $\tau$ of a topological vector space $X$ with a closed subspace $N$.

The collection of all sets $\pi(V)$ with $V \in \mathscr{B}$ is a local base for $\tau_{N}$, the quotient topology induced by the natural map $\pi: X \rightarrow X / N$.",It is clear that $(a)$ implies $(b)$.
1.41 (c),"Let $X$ be a topological vector space with a closed subspace $N$.

Each of the following properties of $X$ is inherited by $X / N$ : local convexity, local boundedness, metrizability, normability.","With the aid of Theorems 1.32, 1.24 , and 1.39 , it is just as easy to see that $(b)$ implies $(c)$."
1.41 (d),"Let $X$ be a topological vector space with a closed subspace $N$.

If $X$ is an $F$-space, or a Fréchet space, or a Banach space, so is $X / N$.","Suppose $d$ is an invariant metric on $X$, compatible with $\tau$. Define $\rho$ by

$$
\rho(\pi(x), \pi(y))=\inf \{d(x-y, z): z \in N\}
$$

This may be interpreted as the distance from $x-y$ to $N$. We omit the verifications that are now needed to show that $\rho$ is well defined and that it is an invariant metric on $X / N$. Since

$$
\pi(\{x: d(x, 0)<r\})=\{u: \rho(u, 0)<r\}
$$

it follows from (b) that $\rho$ is compatible with $\tau_{N}$.

If $X$ is normed, this definition of $\rho$ specializes to yield what is usually called the quotient norm of $X / N$ :

$$
\|\pi(x)\|=\inf \{\|x-z\|: z \in N\} .
$$

To prove $(d)$ we have to show that $\rho$ is a complete metric whenever $d$ is complete.

Suppose $\left\{u_{n}\right\}$ is a Cauchy sequence in $X / N$, relative to $\rho$. There is a subsequence $\left\{u_{n_{i}}\right\}$ with $\rho\left(u_{n_{i}}, u_{n_{i+1}}\right)<2^{-i}$. One can then inductively choose $x_{i} \in X$ such that $\pi\left(x_{i}\right)=u_{n_{i}}$ and $d\left(x_{i}, x_{i+1}\right)<2^{-i}$. If $d$ is complete, the Cauchy sequence $\left\{x_{i}\right\}$ converges to some $x \in X$. The continuity of $\pi$ implies that $u_{n_{i}} \rightarrow \pi(x)$ as $i \rightarrow \infty$. But if a Cauchy sequence has a convergent subsequence then the full sequence must converge. Hence $\rho$ is complete, and so is the proof of Theorem 1.41."
1.37,"Suppose $\mathscr{P}$ is a separating family of seminorms on a vector space $X$. Associate to each $p \in \mathscr{P}$ and to each positive integer $n$ the set

$$
V(p, n)=\left\{x: p(x)<\frac{1}{n}\right\}
$$

Let $\mathscr{B}$ be the collection of all finite intersections of the sets $V(p, n)$. Then $\mathscr{B}$ is a convex balanced local base for a topology $\tau$ on $X$, which turns $X$ into a locally convex space such that
(a) every $p \in \mathscr{P}$ is continuous, and

(b) a set $E \subset X$ is bounded if and only if every $p \in \mathscr{P}$ is bounded on $E$.","Declare a set $A \subset X$ to be open if and only if $A$ is a (possibly empty) union of translates of members of $\mathscr{B}$. This clearly defines a translation-invariant topology $\tau$ on $X$; each member of $\mathscr{B}$ is convex and balanced, and $\mathscr{B}$ is a local base for $\tau$.

Suppose $x \in X, x \neq 0$. Then $p(x)>0$ for some $p \in \mathscr{P}$. Since $x$ is not in $V(p, n)$ if $n p(x)>1$, we see that 0 is not in the neighborhood $x-V(p, n)$ of $x$, so that $x$ is not in the closure of $\{0\}$. Thus $\{0\}$ is a closed set, and since $\tau$ is translation-invariant, every point of $X$ is a closed set.

Next we show that addition and scalar multiplication are continuous. Let $U$ be a neighborhood of 0 in $X$. Then

$$
U \supset V\left(p_{1}, n_{1}\right) \cap \cdots \cap V\left(p_{m}, n_{m}\right)
$$

for some $p_{1}, \ldots, p_{m} \in \mathscr{P}$ and some positive integers $n_{1}, \ldots, n_{m}$. Put

$$
V=V\left(p_{1}, 2 n_{1}\right) \cap \cdots \cap V\left(p_{m}, 2 n_{m}\right)
$$

Since every $p \in \mathscr{P}$ is subadditive, $V+V \subset U$. This proves that addition is continuous.

Suppose now that $x \in X, \alpha$ is a scalar, and $U$ and $V$ are as above. Then $x \in s V$ for some $s>0$. Put $t=s /(1+|\alpha| s)$. If $y \in x+t V$ and $|\beta-\alpha|<1 / s$, then

$$
\beta y-\alpha x=\beta(y-x)+(\beta-\alpha) x
$$

which lies in

$$
|\beta| t V+|\beta-\alpha| s V \subset V+V \subset U
$$

since $|\beta| t \leq 1$ and $V$ is balanced. This proves that scalar multiplication is continuous.

Thus $X$ is a locally convex space. The definition of $V(p, n)$ shows that every $p \in \mathscr{P}$ is continuous at 0 . Hence $p$ is continuous on $X$, by (b) of Theorem 1.34.

Finally, suppose $E \subset X$ is bounded. Fix $p \in \mathscr{P}$. Since $V(p, 1)$ is a neighborhood of $0, E \subset k V(p, 1)$ for some $k<\infty$. Hence $p(x)<k$ for every $x \in E$. It follows that every $p \in \mathscr{P}$ is bounded on $E$.

Conversely, suppose $E$ satisfies this condition, $U$ is a neighborhood of 0 , and (1) holds. There are numbers $M_{i}<\infty$ such that $p_{i}<$ $M_{i}$ on $E(1 \leq i \leq m)$. If $n>M_{i} n_{i}$ for $1 \leq i \leq m$, it follows that $E \subset n U$, so that $E$ is bounded."
4.18 (a),"Let $X$ and $Y$ be Banach spaces. If $T \in \mathscr{B}(X, Y)$ and $\operatorname{dim} \mathscr{R}(T)<\infty$, then $T$ is compact.",Statement $(a)$ is obvious.
4.18 (b),"Let $X$ and $Y$ be Banach spaces. If $T \in \mathscr{B}(X, Y), T$ is compact, and $\mathscr{R}(T)$ is closed, then $\operatorname{dim} \mathscr{R}(T)<\infty$.","If $\mathscr{R}(T)$ is closed, then $\mathscr{R}(T)$ is complete (since $Y$ is complete), so that $T$ is an open mapping of $X$ onto $\mathscr{R}(T)$; if $T$ is compact, it follows that $\mathscr{R}(T)$ is locally compact; thus (b) is a consequence of Theorem 1.22."
4.18 (c),"Let $X$ and $Y$ be Banach spaces. The compact operators form a closed subspace of $\mathscr{B}(X, Y)$ in its norm topology.","If $S$ and $T$ are compact operators from $X$ into $Y$, so is $S+T$, because the sum of any two compact subsets of $Y$ is compact. It follows that the compact operators form a subspace $\Sigma$ of $\mathscr{B}(X, Y)$. To complete the proof of $(c)$, we now show that $\Sigma$ is closed. Let $T \in$ $\mathscr{B}(X, Y)$ be the closure of $\Sigma$, choose $r>0$, and let $U$ be the open unit ball in $X$. There exists $S \in \Sigma$ with $\|S-T\|<r$. Since $S(U)$ is totally bounded, there are points $x_{1}, \ldots, x_{n}$ in $U$ such that $S(U)$ is covered by the balls of radius $r$ with centers at the points $S x_{i}$. Since
$\|S x-T x\|<r$ for every $x \in U$, it follows that $T(U)$ is covered by the balls of radius $3 r$ with centers at the points $T x_{i}$. Thus $T(U)$ is totally bounded, which proves that $T \in \Sigma$."
4.18 (d),"Let $X$ be a Banach space. If $T \in \mathscr{B}(X), T$ is compact, and $\lambda \neq 0$, then $\operatorname{dim} \mathscr{N}(T-\lambda I)<\infty$.","Put $Y=\mathscr{N}(T-\lambda I)$ in $(d)$. The restriction of $T$ to $Y$ is a compact operator whose range is $Y$. Thus $(d)$ follows from $(b)$, and so does $(e)$, for if 0 is not in $\sigma(T)$, then $\mathscr{R}(T)=X$."
4.18 (e),"Let $X$ be a Banach space. If $\operatorname{dim} X=\infty, T \in \mathscr{B}(X)$, and $T$ is compact, then $0 \in \sigma(T)$.",
4.18 (f),"Let $X$ be a Banach space. If $S \in \mathscr{B}(X), T \in \mathscr{B}(X)$, and $T$ is compact, so are $S T$ and $T S$.",The proof of $(f)$ is trivial.
4.14,"If $X$ and $Y$ are Banach spaces and if $T \in \mathscr{B}(X, Y)$, then each of the following three conditions implies the other two:

(a) $\mathscr{R}(T)$ is closed in $Y$.

(b) $\mathscr{R}\left(T^{*}\right)$ is weak*-closed in $X^{*}$.

(c) $\mathscr{R}\left(T^{*}\right)$ is norm-closed in $X^{*}$.

","It is obvious that $(b)$ implies $(c)$. We will prove that $(a)$ implies $(b)$ and that $(c)$ implies $(a)$.

Suppose $(a)$ holds. By Theorem 4.12 and $(b)$ of Theorem 4.7, $\mathscr{N}(T)^{\perp}$ is the weak*-closure of $\mathscr{R}\left(T^{*}\right)$. To prove $(b)$ it is therefore enough to show that $\mathscr{N}(T)^{\perp} \subset \mathscr{R}\left(T^{*}\right)$.

Pick $x^{*} \in \mathscr{N}(T)^{\perp}$. Define a linear functional $\Lambda$ on $\mathscr{R}(T)$ by

$$
\Lambda T x=\left\langle x, x^{*}\right\rangle \quad(x \in X)
$$

Note that $\Lambda$ is well defined, for if $T x=T x^{\prime}$, then $x-x^{\prime} \in \mathcal{N}(T)$; hence

$$
\left\langle x-x^{\prime}, x^{*}\right\rangle=0 .
$$

The open mapping theorem applies to

$$
T: X \rightarrow \mathscr{R}(T)
$$

since $\mathscr{R}(T)$ is assumed to be a closed subspace of the complete space $Y$ and is therefore complete. It follows that there exists $K<\infty$ such that to each $y \in \mathscr{R}(T)$ corresponds an $x \in X$ with $T x=y,\|x\| \leq K\|y\|$, and

$$
|\Lambda y|=|\Lambda T x|=\left|\left\langle x, x^{*}\right\rangle\right| \leq K\|y\|\left\|x^{*}\right\| .
$$

Thus $\Lambda$ is continuous. By the Hahn-Banach theorem, some $y^{*} \in Y^{*}$ extends $\Lambda$. Hence

$$
\left\langle T x, y^{*}\right\rangle=\Lambda T x=\left\langle x, x^{*}\right\rangle \quad(x \in X) .
$$

This implies $x^{*}=T^{*} y^{*}$. Since $x^{*}$ was an arbitrary element of $\mathcal{N}(T)^{\perp}$, we have shown that $\mathscr{N}(T)^{\perp} \subset \mathscr{R}\left(T^{*}\right)$. Thus $(b)$ follows from $(a)$.

Suppose next that (c) holds. Let $Z$ be the closure of $\mathscr{R}(T)$ in $Y$. Define $S \in \mathscr{B}(X, Z)$ by setting $S x=T x$. Since $\mathscr{R}(S)$ is dense in $Z$, Corollary $(b)$ to Theorem 4.12 implies that

$$
S^{*}: Z^{*} \rightarrow X^{*}
$$

is one-to-one.

If $z^{*} \in Z^{*}$, the Hahn-Banach theorem furnishes an extension $y^{*}$ of $z^{*}$; for every $x \in X$,

$$
\left\langle x, T^{*} y^{*}\right\rangle=\left\langle T x, y^{*}\right\rangle=\left\langle S x, z^{*}\right\rangle=\left\langle x, S^{*} z^{*}\right\rangle .
$$

Hence $S^{*} z^{*}=T^{*} y^{*}$. It follows that $S^{*}$ and $T^{*}$ have identical ranges. Since $(c)$ is assumed to hold, $\mathscr{R}\left(S^{*}\right)$ is closed, hence complete.

Apply the open mapping theorem to

$$
S^{*}: Z^{*} \rightarrow \mathscr{R}\left(S^{*}\right)
$$

Since $S^{*}$ is one-to-one, the conclusion is that there is a constant $c>0$ which satisfies

$$
c\left\|z^{*}\right\| \leq\left\|S^{*} z^{*}\right\|
$$

for every $z^{*} \in Z^{*}$. Hence $S: X \rightarrow Z$ is an open mapping, by Theorem 4.13. In particular, $S(X)=Z$. But $\mathscr{R}(T)=\mathscr{R}(S)$, by the definition of $S$. Thus $\mathscr{R}(T)=Z$, a closed subspace of $Y$.

This completes the proof that $(c)$ implies $(a)$."
5.21,"If $\left\{z_{1}, z_{2}, z_{3}, \ldots\right\} \subset U$ is nontangentially dense on $T$, then to every $f \in L^{1}(T)$ and every $\varepsilon>0$ correspond scalars $c_{n}$ such that $\sum\left|c_{n}\right| \leq\|f\|_{1}+\varepsilon$ and

$$
f=\sum_{1}^{\infty} c_{n} P_{z_{n}}
$$",
13.25,"In the situation of Theorem $13.24, \mathscr{D}_{f}=H$ if and only if $f \in L^{\infty}(E)$.","Assume $\mathscr{D}_{f}=H$. Since $\Psi(f)$ is a closed operator, the closed graph theorem implies that $\Psi(f) \in \mathscr{B}(H)$. If $f_{n}=f \phi_{n}$ is a truncation of $f$, it follows from the multiplication theorem, combined with Theorem 12.21 , that

$$
\left\|f_{n}\right\|_{\infty}=\left\|\Psi\left(f_{n}\right)\right\|=\left\|\Psi(f) \Psi\left(\phi_{n}\right)\right\| \leq\|\Psi(f)\|,
$$

since $\left\|\Psi\left(\phi_{n}\right)\right\|=\left\|\phi_{n}\right\|_{\infty} \leq 1$. Thus $\|f\|_{\infty} \leq\|\Psi(f)\|$, and $f \in L^{\infty}(E)$. The converse is contained in Theorem 12.21."
